Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,381.1099853515625,382.260009765625,373.8599853515625,380.8699951171875,380.8699951171875,574700
2022-01-04,379.8800048828125,380.3999938964844,365.0,372.3599853515625,372.3599853515625,866900
2022-01-05,370.489990234375,381.0899963378906,367.5,367.8800048828125,367.8800048828125,866000
2022-01-06,367.3599853515625,383.42999267578125,364.3699951171875,378.92999267578125,378.92999267578125,1162300
2022-01-07,379.79998779296875,389.7200012207031,370.0,370.3599853515625,370.3599853515625,1043100
2022-01-10,363.1700134277344,366.20001220703125,346.1499938964844,362.2799987792969,362.2799987792969,1745500
2022-01-11,384.7200012207031,424.6199951171875,381.0,423.79998779296875,423.79998779296875,4112200
2022-01-12,421.0,428.0,412.010009765625,413.3699951171875,413.3699951171875,1783600
2022-01-13,414.55999755859375,414.55999755859375,398.44000244140625,399.510009765625,399.510009765625,1141000
2022-01-14,395.0,405.6199951171875,393.989990234375,405.1400146484375,405.1400146484375,1034800
2022-01-18,402.1099853515625,402.1099853515625,382.510009765625,383.1300048828125,383.1300048828125,1050700
2022-01-19,384.3599853515625,394.4599914550781,383.760009765625,384.3599853515625,384.3599853515625,784900
2022-01-20,389.3999938964844,394.80999755859375,379.1000061035156,380.44000244140625,380.44000244140625,791500
2022-01-21,379.4800109863281,383.9800109863281,365.7799987792969,365.94000244140625,365.94000244140625,1066100
2022-01-24,360.9100036621094,365.5199890136719,344.4599914550781,364.9599914550781,364.9599914550781,1326500
2022-01-25,358.79998779296875,358.79998779296875,344.0299987792969,344.760009765625,344.760009765625,1183000
2022-01-26,343.6199951171875,349.29998779296875,327.1199951171875,331.7799987792969,331.7799987792969,1278600
2022-01-27,334.29998779296875,338.92999267578125,323.1499938964844,324.3599853515625,324.3599853515625,956300
2022-01-28,322.1099853515625,332.1000061035156,318.07000732421875,331.9599914550781,331.9599914550781,786200
2022-01-31,330.7900085449219,349.8800048828125,330.6199951171875,348.82000732421875,348.82000732421875,1002900
2022-02-01,352.8900146484375,359.29998779296875,349.2200012207031,356.45001220703125,356.45001220703125,953500
2022-02-02,356.82000732421875,358.2200012207031,351.92999267578125,356.2300109863281,356.2300109863281,650100
2022-02-03,347.3800048828125,359.0299987792969,340.69000244140625,356.6600036621094,356.6600036621094,1176900
2022-02-04,356.0,363.8500061035156,351.3399963378906,358.3800048828125,358.3800048828125,988200
2022-02-07,357.9800109863281,365.8699951171875,354.4599914550781,355.9200134277344,355.9200134277344,577100
2022-02-08,352.4100036621094,357.1700134277344,349.9200134277344,354.7699890136719,354.7699890136719,565200
2022-02-09,360.0,369.8699951171875,360.0,367.8599853515625,367.8599853515625,856200
2022-02-10,358.260009765625,367.1199951171875,355.0,358.0799865722656,358.0799865722656,1115600
2022-02-11,342.9700012207031,349.3999938964844,330.69000244140625,330.8999938964844,330.8999938964844,1853300
2022-02-14,330.9599914550781,332.6300048828125,322.32000732421875,329.45001220703125,329.45001220703125,1050900
2022-02-15,336.05999755859375,344.30999755859375,333.5799865722656,342.1199951171875,342.1199951171875,961500
2022-02-16,340.3800048828125,340.510009765625,325.79998779296875,333.8599853515625,333.8599853515625,769700
2022-02-17,332.3500061035156,333.7200012207031,316.5199890136719,317.8399963378906,317.8399963378906,752400
2022-02-18,315.5899963378906,318.8999938964844,310.0199890136719,311.9700012207031,311.9700012207031,1229200
2022-02-22,311.0,324.0,309.0400085449219,319.8599853515625,319.8599853515625,1084100
2022-02-23,322.1199951171875,326.0,313.8999938964844,315.2799987792969,315.2799987792969,1105500
2022-02-24,310.8599853515625,324.6000061035156,306.6600036621094,323.9100036621094,323.9100036621094,876800
2022-02-25,324.57000732421875,331.80999755859375,321.3299865722656,329.489990234375,329.489990234375,880300
2022-02-28,325.3800048828125,329.6600036621094,321.260009765625,326.6000061035156,326.6000061035156,1173200
2022-03-01,325.8800048828125,334.6300048828125,325.17999267578125,330.25,330.25,966300
2022-03-02,333.1400146484375,334.5400085449219,323.25,330.19000244140625,330.19000244140625,539400
2022-03-03,334.70001220703125,334.989990234375,325.260009765625,331.95001220703125,331.95001220703125,859900
2022-03-04,328.1000061035156,333.8299865722656,320.6199951171875,323.57000732421875,323.57000732421875,768500
2022-03-07,323.0,325.0,314.0400085449219,316.3299865722656,316.3299865722656,729200
2022-03-08,312.67999267578125,324.489990234375,306.3900146484375,313.5199890136719,313.5199890136719,778700
2022-03-09,322.6400146484375,329.04998779296875,320.8399963378906,324.7099914550781,324.7099914550781,873400
2022-03-10,316.6700134277344,319.54998779296875,310.0799865722656,316.0400085449219,316.0400085449219,768500
2022-03-11,321.3900146484375,322.3399963378906,303.5,303.8699951171875,303.8699951171875,642700
2022-03-14,304.95001220703125,313.2900085449219,303.1499938964844,306.1099853515625,306.1099853515625,945700
2022-03-15,312.6300048828125,314.3900146484375,302.7900085449219,312.6099853515625,312.6099853515625,814400
2022-03-16,316.3500061035156,328.05999755859375,314.8500061035156,326.6000061035156,326.6000061035156,905700
2022-03-17,325.0899963378906,338.260009765625,321.8399963378906,338.260009765625,338.260009765625,880700
2022-03-18,335.95001220703125,346.6600036621094,335.7699890136719,346.1099853515625,346.1099853515625,1375700
2022-03-21,341.55999755859375,348.739990234375,339.95001220703125,347.0,347.0,747200
2022-03-22,342.4100036621094,351.7300109863281,342.4100036621094,350.20001220703125,350.20001220703125,620900
2022-03-23,349.8399963378906,349.8399963378906,337.70001220703125,339.7900085449219,339.7900085449219,621900
2022-03-24,340.0,343.30999755859375,332.3299865722656,343.04998779296875,343.04998779296875,528900
2022-03-25,345.80999755859375,345.80999755859375,334.2900085449219,341.7200012207031,341.7200012207031,484900
2022-03-28,342.8299865722656,348.4200134277344,337.8800048828125,347.0799865722656,347.0799865722656,618400
2022-03-29,352.0400085449219,358.1300048828125,351.30999755859375,357.3500061035156,357.3500061035156,731000
2022-03-30,355.7200012207031,358.8999938964844,350.010009765625,352.0400085449219,352.0400085449219,585700
