Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,259.20001220703125,260.20001220703125,253.07000732421875,255.50999450683594,253.64390563964844,5302100
2022-01-04,255.63999938964844,260.8299865722656,255.60000610351562,259.80999755859375,257.9125061035156,3638200
2022-01-05,258.7099914550781,259.44000244140625,254.72000122070312,254.75,252.88946533203125,3808600
2022-01-06,257.6400146484375,258.45001220703125,255.0,257.7900085449219,255.9072723388672,3616300
2022-01-07,255.6999969482422,257.3800048828125,250.7100067138672,251.08999633789062,249.25621032714844,4945500
2022-01-10,247.88999938964844,248.10000610351562,240.57000732421875,247.69000244140625,245.88104248046875,6292400
2022-01-11,247.91000366210938,249.9499969482422,244.67999267578125,249.5,247.67782592773438,3415000
2022-01-12,251.19000244140625,254.7100067138672,249.94000244140625,250.72000122070312,248.88890075683594,2825500
2022-01-13,253.0800018310547,253.75,250.08999633789062,250.6999969482422,248.86904907226562,2243400
2022-01-14,247.3000030517578,248.6999969482422,241.47000122070312,243.39999389648438,241.6223602294922,3258500
2022-01-18,239.1999969482422,239.60000610351562,234.27000427246094,238.41000366210938,237.44924926757812,4612500
2022-01-19,239.6300048828125,241.16000366210938,234.27000427246094,234.6999969482422,233.7541961669922,4146800
2022-01-20,236.27000427246094,237.58999633789062,223.33999633789062,223.92999267578125,223.02760314941406,5946600
2022-01-21,222.88999938964844,229.85000610351562,221.5,225.02000427246094,224.11322021484375,5724400
2022-01-24,220.52999877929688,232.7100067138672,220.1999969482422,232.35000610351562,231.41368103027344,4911600
2022-01-25,227.5,231.94000244140625,224.50999450683594,230.00999450683594,229.08309936523438,4099200
2022-01-26,232.55999755859375,235.0,225.74000549316406,228.10000610351562,227.18080139160156,4349200
2022-01-27,230.66000366210938,233.1699981689453,223.9499969482422,225.92999267578125,225.01953125,3425800
2022-01-28,227.99000549316406,235.13999938964844,224.47999572753906,234.99000549316406,234.0430450439453,3215500
2022-01-31,233.99000549316406,237.61000061035156,232.66000366210938,237.35000610351562,236.39352416992188,4485900
2022-02-01,238.4499969482422,239.47999572753906,233.82000732421875,238.35000610351562,237.38949584960938,2723800
2022-02-02,238.61000061035156,240.7100067138672,236.4499969482422,239.11000061035156,238.1464385986328,2442900
2022-02-03,236.0,239.49000549316406,233.80999755859375,234.11000061035156,233.1665802001953,2512000
2022-02-04,234.14999389648438,234.14999389648438,225.1699981689453,229.07000732421875,228.1468963623047,3456700
2022-02-07,230.52000427246094,230.97999572753906,224.52999877929688,227.02000427246094,226.10516357421875,2990100
2022-02-08,227.1999969482422,232.6199951171875,225.86000061035156,231.75999450683594,230.8260498046875,2572400
2022-02-09,234.52000427246094,236.47999572753906,232.83999633789062,233.66000366210938,232.71839904785156,2115100
2022-02-10,230.69000244140625,232.86000061035156,225.7899932861328,227.39999389648438,226.48361206054688,3053800
2022-02-11,227.52000427246094,229.72000122070312,224.75999450683594,225.91000366210938,224.9996337890625,2192800
2022-02-14,223.77000427246094,227.02000427246094,223.1199951171875,225.9499969482422,225.03945922851562,2025700
2022-02-15,228.30999755859375,230.05999755859375,226.97999572753906,228.10000610351562,227.18080139160156,1843600
2022-02-16,226.52000427246094,228.1699981689453,223.50999450683594,227.00999450683594,226.09518432617188,2461300
2022-02-17,225.92999267578125,227.22000122070312,223.25,223.7899932861328,222.88816833496094,2482200
2022-02-18,222.9499969482422,225.72000122070312,220.4199981689453,222.69000244140625,221.7926025390625,4241500
2022-02-22,218.2899932861328,221.4499969482422,210.75999450683594,214.58999633789062,213.72523498535156,7641100
2022-02-23,222.0,227.75,214.1300048828125,215.08999633789062,214.2232208251953,8936900
2022-02-24,209.69000244140625,214.25999450683594,206.24000549316406,213.41000366210938,212.5500030517578,5749300
2022-02-25,214.27000427246094,219.69000244140625,210.2100067138672,219.17999267578125,218.29673767089844,4613300
2022-02-28,217.25999450683594,221.3000030517578,215.82000732421875,221.05999755859375,220.16917419433594,5440400
2022-03-01,221.3800048828125,224.44000244140625,220.22999572753906,221.5,220.60739135742188,3953200
2022-03-02,220.60000610351562,230.00999450683594,220.11000061035156,228.66000366210938,227.73854064941406,4513700
2022-03-03,229.1199951171875,230.72000122070312,225.05999755859375,226.27999877929688,225.36813354492188,3180700
2022-03-04,224.5800018310547,226.69000244140625,221.75,224.07000732421875,223.16705322265625,3144400
2022-03-07,224.02999877929688,227.97999572753906,222.0800018310547,222.25999450683594,221.3643341064453,4022700
2022-03-08,222.25999450683594,229.6199951171875,222.0800018310547,223.25999450683594,222.3603057861328,3725900
2022-03-09,227.97999572753906,230.27999877929688,225.58999633789062,225.8800048828125,224.96975708007812,3428500
2022-03-10,223.0,224.38999938964844,219.08999633789062,224.1699981689453,223.26663208007812,3318700
2022-03-11,223.89999389648438,227.55999755859375,221.99000549316406,222.2100067138672,221.31454467773438,2616300
2022-03-14,223.97999572753906,227.7100067138672,221.0800018310547,226.50999450683594,225.59719848632812,3607700
2022-03-15,227.8000030517578,232.35000610351562,227.50999450683594,231.07000732421875,230.1388397216797,3413600
2022-03-16,233.1300048828125,234.42999267578125,226.7899932861328,231.3300018310547,230.3977813720703,3497400
2022-03-17,230.0,234.41000366210938,228.32000732421875,234.3800048828125,233.4355010986328,3323900
2022-03-18,231.64999389648438,236.25999450683594,229.92999267578125,235.6699981689453,234.7202911376953,9149800
2022-03-21,236.5,238.3699951171875,225.69000244140625,227.60000610351562,226.6828155517578,4349200
2022-03-22,227.64999389648438,229.8699951171875,225.36000061035156,228.47000122070312,227.54931640625,3248800
2022-03-23,227.0,227.9499969482422,219.8300018310547,220.9199981689453,220.0297393798828,3728100
2022-03-24,220.8300018310547,221.9600067138672,217.9600067138672,219.1699981689453,218.2867889404297,3399200
